sid,freq
31976,278
18514,277
2887,276
26883,275
28936,274
26263,273
22970,273
22611,273
200,273
32391,272
29675,272
13490,271
15790,271
12269,270
6506,270
14083,270
4480,269
24665,269
31157,269
1423,268
34562,267
21045,266
8665,266
29641,265
25510,264
11412,264
27075,264
26238,263
22024,262
6789,262
19535,262
17405,261
27268,261
6103,261
6217,259
19338,259
5066,259
25483,259
3809,258
9319,257
27687,257
10846,257
12654,257
11854,256
34559,255
29465,255
29445,255
31884,255
13891,255
20404,254
22994,253
13880,253
25178,253
13082,253
26243,252
16407,252
3901,251
18089,251
21909,250
20225,249
20676,249
28673,248
10444,248
18547,248
16438,247
16640,246
30481,246
12523,246
29025,246
22414,245
4230,244
25838,244
18027,244
22721,244
7073,243
25627,243
20018,243
19308,241
22830,241
32357,241
28917,240
839,240
18998,240
28331,240
30245,240
27566,238
22673,238
19495,238
9113,238
17003,237
27577,237
32760,236
2482,236
12100,235
28071,235
1531,235
12350,234
2704,234
16837,233
14451,233
3661,232
31803,232
10493,232
31165,232
7684,232
22767,232
3151,231
1387,231
32069,230
12529,230
8443,228
28637,228
27030,228
26076,228
10402,227
31470,227
11421,226
26570,226
10199,226
27245,226
31036,226
17900,226
7887,226
31886,225
20020,225
31132,224
17914,224
20973,223
25431,223
9179,223
18021,223
2820,223
9426,223
16045,223
17432,222
22521,222
29049,222
32745,222
19420,222
6099,222
26600,221
24016,221
4773,220
20698,219
11187,219
24209,219
18169,219
20548,218
23643,218
4262,218
10451,218
2638,217
21088,217
1457,217
32833,217
27162,217
25219,216
7780,216
1053,215
6965,215
34329,215
30053,215
21224,215
28884,214
23398,214
12370,214
10570,213
10613,213
11442,212
20394,212
22474,212
22674,212
3578,212
12284,212
5085,212
17976,212
15936,212
34033,211
23112,211
18637,211
32470,211
17617,211
32353,210
7296,209
17055,209
18327,209
26096,209
12547,209
21592,209
33007,209
11557,208
15425,208
22480,208
284,208
32003,207
30926,207
13923,207
25388,207
20820,207
14082,207
21089,206
12415,206
32408,206
30321,206
10651,206
22040,205
2338,205
28340,205
28436,205
4738,205
18381,205
17950,204
22878,204
31014,203
27095,203
27648,203
4356,203
26746,203
20349,203
12876,203
14362,203
1832,202
15414,202
6518,202
10036,201
28079,201
15309,201
1647,201
34545,200
8522,200
25422,200
18494,199
9913,199
32341,199
16246,199
3185,199
29103,199
8428,199
23152,198
22218,198
9890,198
709,197
11558,197
19201,197
11097,197
15752,196
32365,196
1885,196
14241,196
16153,196
150,195
29215,195
26291,195
7989,195
19891,195
24457,195
29376,195
33237,195
1370,195
20918,195
10460,195
16176,194
10001,194
30158,194
28716,193
21023,193
13713,193
32375,193
11843,193
4920,193
8725,193
24752,192
20520,192
19800,192
3908,192
13088,192
34580,192
7483,191
24180,191
28176,191
13320,191
12955,190
1424,190
569,190
6058,190
4886,190
7771,190
33259,190
9083,189
18447,189
5258,189
24292,189
10534,189
31004,189
9442,189
18135,189
4577,189
20169,188
3694,187
32695,187
21314,187
22529,187
25102,187
20625,187
28304,186
6838,186
20204,186
12065,185
1056,185
20732,185
21702,185
11777,185
12922,185
25333,185
19298,185
23495,185
28054,184
19808,184
8245,184
14288,184
12001,184
30071,183
16499,183
9677,183
33924,183
1608,183
7279,183
4847,183
16295,183
20936,182
30113,182
17461,182
26502,181
20574,181
27246,181
34564,181
3203,181
3111,181
30265,181
27417,180
15223,180
26217,179
565,179
27068,179
5573,179
29527,179
6151,179
4905,179
14522,178
29328,178
18672,178
7028,178
4304,178
5556,177
19897,177
30506,177
22469,177
2625,176
22507,176
8516,176
30714,176
23911,176
3921,176
17189,176
20707,175
3638,175
19161,175
27926,175
9131,175
31381,175
16047,175
511,174
32919,174
29963,174
21301,174
17801,173
21987,173
26414,173
7186,173
15810,172
19377,172
12400,172
10235,172
22621,172
27174,172
14307,172
5483,172
22955,172
11282,172
8796,172
1904,171
2153,171
1374,171
29008,171
16447,171
16784,171
11137,171
26023,171
465,171
11977,171
6600,171
34269,170
20695,170
33653,170
29853,170
23166,169
9661,169
22430,169
24214,169
4093,169
18043,169
23854,169
15167,169
25327,168
24136,168
159,168
34372,168
24274,168
12388,168
11686,168
9608,167
10808,167
9274,167
31991,167
28627,167
25433,167
19553,167
4252,167
13693,166
24111,166
20499,166
678,166
3752,165
32664,165
14560,165
12316,165
11536,165
10339,165
16926,165
4893,165
11386,165
23441,165
20799,164
9031,164
33928,164
7230,164
30420,164
30822,163
5409,163
14044,163
12767,163
13887,163
8580,163
21379,162
3922,162
18280,162
18961,162
30538,161
8682,161
12561,161
8551,161
4636,161
13712,161
9415,161
2856,161
22282,161
19768,161
485,161
34376,161
8535,160
32604,160
13239,160
29294,160
14781,160
27436,160
17835,160
13789,160
7761,160
12136,160
22459,160
6304,160
16091,160
1355,159
24770,159
10604,159
13236,159
24601,159
27918,159
13018,159
20239,159
25499,158
11254,158
27497,158
13691,158
11978,158
29936,158
25601,157
8946,157
17601,157
1418,157
12666,157
10862,157
31508,157
18163,157
12783,157
21785,157
29066,157
26815,157
4624,156
25367,156
25929,156
3574,156
18173,156
26967,156
22050,156
10501,155
86,155
18046,155
17352,155
30702,155
33779,155
30688,154
29118,154
1412,154
17350,154
12964,154
25630,154
26543,154
31998,154
29663,153
8338,153
4771,153
26075,153
81,153
8793,153
8792,153
34068,153
9725,153
29071,153
7676,153
32999,153
1098,153
2663,152
25711,152
1175,152
29939,152
20907,152
28965,152
23951,152
6636,152
21685,152
26670,151
33581,151
25271,151
26024,151
4599,151
21743,151
13508,151
15103,151
34373,151
1659,150
9943,150
14997,150
26145,150
23848,150
4047,150
6542,150
16615,150
16321,150
19845,150
8754,150
29020,150
32232,150
24728,150
10608,150
30252,149
9720,149
16130,149
23031,149
12205,149
5738,149
7606,149
12021,148
12106,148
6623,148
21328,148
33519,148
31328,148
843,148
29409,147
20539,147
9251,147
28760,147
29259,147
27831,147
30109,147
21111,147
2036,146
2251,146
5277,146
18428,146
2379,146
16581,146
6430,146
13039,146
19738,146
17636,146
3017,146
31805,145
5929,145
18228,145
28962,145
27996,145
26845,145
17160,145
17250,145
15169,144
22664,144
18018,144
12324,144
16436,144
15521,144
424,144
3932,144
32537,144
24987,144
1206,144
8652,144
16242,143
12637,143
14866,143
1719,143
29247,143
26624,143
1331,143
3062,143
28307,142
10211,142
13258,142
17701,142
1345,142
13597,142
18755,142
20361,142
27326,142
28792,141
30000,141
5393,141
14806,141
34432,141
28933,141
31104,141
24247,141
3246,141
23527,141
28514,141
3029,141
24158,141
21211,141
17780,141
5704,140
23287,140
15981,140
31564,140
8408,140
12110,140
25179,140
6331,140
4493,140
2016,140
9482,140
32616,139
7352,139
28141,139
5310,139
33416,139
20569,139
33477,139
27160,139
32950,139
16881,139
12924,138
795,138
14830,138
13618,138
34586,138
20193,138
16124,138
22410,138
14581,138
2927,138
21893,138
18924,138
17702,138
12109,138
19028,138
27836,138
28368,138
20796,137
10897,137
5298,137
34408,137
7831,137
3759,137
15404,137
6446,137
30008,136
23587,136
29267,136
15982,136
15946,136
21901,136
33814,136
9336,136
11245,136
11228,136
16734,136
31413,136
11855,136
10473,135
29828,135
34474,135
32635,135
16549,135
13575,135
9785,135
11185,135
6352,135
27690,135
17205,135
29187,135
20884,134
4985,134
29340,134
34193,134
21763,134
22302,134
7368,134
17328,134
22235,134
22303,134
7387,134
3631,134
20099,134
5684,134
18466,134
14854,133
11375,133
20957,133
32381,133
28204,133
17285,133
32868,133
17978,133
2746,133
33316,133
13676,133
13805,133
32257,133
13441,133
2096,132
643,132
3150,132
33171,132
17154,132
31140,132
16836,132
9499,132
8640,132
15907,132
2403,132
14245,132
16542,131
32870,131
23881,131
31209,131
10386,131
33286,131
34188,131
16383,131
14253,131
27198,131
8787,131
12625,131
33080,131
28926,131
12592,130
11164,130
9374,130
25752,130
24177,130
32378,130
27275,130
11061,130
249,130
24723,130
10092,130
10565,130
10809,130
2019,130
15328,130
20085,130
31407,130
29334,130
27040,129
15793,129
3245,129
13775,129
28950,129
6501,129
19824,129
30184,129
2266,129
13353,129
1653,129
14109,129
24965,128
25119,128
1074,128
29496,128
30846,128
18762,128
1556,128
15490,128
1983,128
24430,128
24734,128
11251,127
12458,127
25871,127
15492,127
16827,127
31258,127
21643,127
15529,127
5754,127
3823,127
30050,127
9564,127
18706,127
21449,127
27640,126
3457,126
6488,126
13095,126
21232,126
20017,126
1225,126
6033,126
9695,126
20848,126
19734,126
12574,126
8579,126
33064,126
17152,126
32585,126
15739,126
20898,126
33257,126
7033,126
31093,126
5689,126
32592,125
27544,125
31951,125
24154,125
46,125
16005,125
6596,125
20297,125
15735,125
4394,125
25839,125
24746,125
26000,125
515,125
1018,125
5512,125
936,125
8521,125
27347,125
2940,125
5434,125
9927,125
18578,125
31566,125
32864,125
2781,125
14469,124
13128,124
2102,124
21632,124
10551,124
5916,124
13503,124
14158,124
3734,124
34060,124
26321,124
16891,124
9311,124
14269,124
1503,124
12939,123
33668,123
22195,123
22083,123
4875,123
21180,123
10313,123
1095,123
31477,123
22876,123
33774,123
28435,123
4705,123
11743,123
10385,123
26751,123
32699,123
13873,123
8311,123
19234,123
6350,123
13747,123
16428,123
6664,123
2977,122
15513,122
20286,122
18054,122
21851,122
16342,122
25808,122
23774,122
14653,122
14302,122
24485,122
29722,122
15554,122
26464,122
5158,122
17632,122
16802,121
33170,121
20106,121
14287,121
34371,121
3257,121
14887,121
20373,121
8698,121
23972,121
29632,121
14236,121
20858,121
2540,121
16131,121
32880,120
12338,120
1243,120
28953,120
25432,120
28429,120
20819,120
15172,120
16371,120
17516,120
30965,120
15796,120
18014,120
13127,120
6924,119
15608,119
10405,119
2989,119
2137,119
7818,119
16479,119
20149,119
8083,119
11628,119
5995,119
3801,119
7446,118
29225,118
15569,118
14148,118
31694,118
31752,118
23454,118
33625,118
32824,118
27701,118
12347,118
12854,118
32874,118
23391,118
25699,118
6796,117
25038,117
472,117
7235,117
22557,117
31457,117
12442,117
34011,117
5287,117
19677,117
2211,117
32867,117
19522,117
23115,117
33095,117
5730,117
34348,116
33861,116
24516,116
9885,116
27503,116
6172,116
6591,116
2476,116
9005,116
8167,116
20729,116
1950,116
31892,116
25605,116
16600,115
13605,115
16768,115
9447,115
6760,115
19948,115
5415,115
8076,115
28827,115
25404,115
8589,115
34209,115
16249,115
28104,115
5325,115
27858,115
4917,115
8555,115
21205,115
28253,115
6585,115
27960,115
21436,114
33134,114
13340,114
13064,114
3403,114
17786,114
26935,114
15537,114
3089,114
30145,114
16718,114
18400,114
17836,114
18307,114
1513,114
12954,114
3941,114
2582,114
32783,114
15212,113
4686,113
1246,113
11971,113
8770,113
2218,113
6632,113
3282,113
20915,113
4902,113
26196,113
33513,113
24287,113
3597,113
7538,113
29344,113
17381,113
20293,113
34509,113
32810,113
31266,113
13639,113
30482,113
27176,113
10539,113
13060,113
15333,113
31515,113
13959,113
33864,112
28927,112
25476,112
8650,112
27627,112
31265,112
23652,112
19364,112
33471,112
9488,112
23041,112
11476,112
4288,112
20389,112
18883,112
3420,112
15741,112
31447,112
17738,112
21642,112
29521,112
28826,111
27257,111
22528,111
16849,111
311,111
32831,111
16787,111
22837,111
7282,111
4916,111
6385,111
11689,111
5240,111
15168,111
27770,111
33343,111
17554,110
10013,110
23198,110
29163,110
7823,110
1574,110
4129,110
11124,110
32352,110
5244,110
13718,110
13921,110
22949,110
32146,110
4210,110
10265,110
27086,109
12294,109
17947,109
13330,109
25105,109
29880,109
30700,109
30111,109
22943,109
5444,109
13700,109
27055,109
14641,109
32106,109
13595,109
21176,109
18157,109
5449,109
17662,109
32911,109
5584,109
18313,109
27186,108
4140,108
16197,108
8477,108
5891,108
21602,108
29265,108
20463,108
18835,108
4986,108
7248,108
6942,108
19863,108
25239,108
17378,108
7310,108
26123,108
15401,108
18756,108
19941,108
15571,108
19301,108
14945,108
21998,108
30382,108
27084,108
10506,108
8826,108
8594,108
12456,107
11285,107
22568,107
14486,107
22463,107
31250,107
2885,107
30670,107
16675,107
34275,107
3827,107
297,107
13916,107
956,107
5255,107
20835,107
15807,107
13515,106
994,106
2562,106
26456,106
18710,106
15403,106
27973,106
18227,106
29396,106
15491,106
16316,106
3422,106
13072,106
5335,106
11158,106
664,106
7451,106
14002,106
24737,106
26948,106
28327,106
33769,106
31395,106
7850,106
31945,106
14968,106
17829,106
33938,106
20177,106
25467,106
1322,106
764,105
4036,105
14169,105
22123,105
23387,105
18662,105
19959,105
25866,105
30209,105
6572,105
12022,105
23783,105
32454,105
13471,105
19344,105
9033,105
28544,105
23736,105
29907,105
10887,105
27295,105
14274,105
5448,105
31907,105
32556,105
13832,105
30593,104
25084,104
23350,104
1429,104
7835,104
31231,104
31568,104
672,104
11072,104
10597,104
16746,104
14696,104
5332,104
19725,104
12718,104
32247,104
5696,104
24276,104
591,104
6828,104
8881,104
632,104
3895,104
10692,103
25814,103
11642,103
28655,103
20447,103
13810,103
13563,103
30339,103
31866,103
11142,103
7156,103
29740,103
2026,103
28557,103
11904,103
13063,103
10119,103
9270,103
21629,103
23879,103
25927,103
29488,103
5659,103
26332,103
21548,103
26156,103
1403,103
2196,102
20084,102
9788,102
14325,102
31401,102
29808,102
22265,102
15791,102
528,102
4256,102
17281,102
31270,102
4293,102
18933,102
29067,102
24455,102
15165,102
12194,102
16922,102
1604,102
4973,102
19508,102
12416,102
24071,102
19637,102
18937,101
11612,101
6651,101
10102,101
4486,101
5532,101
1524,101
10800,101
8331,101
17059,101
8314,101
17999,101
28190,101
8131,101
6764,101
17153,101
34508,101
135,101
24616,101
18693,101
19730,101
6901,100
17956,100
10603,100
12940,100
613,100
24795,100
14757,100
28345,100
30206,100
9252,100
5905,100
2001,100
25974,100
19167,100
10965,100
2187,100
21728,100
27804,100
7984,100
32526,100
928,99
27307,99
14235,99
3814,99
13582,99
6638,99
1254,99
19470,99
4589,99
10663,99
14067,99
7646,99
33614,99
16185,99
1740,99
8684,99
29960,99
17678,99
2442,99
14701,99
13948,99
10982,98
5563,98
3201,98
12551,98
19243,98
19232,98
33698,98
6478,98
22918,98
26189,98
7311,98
24196,98
32901,98
27048,98
15880,98
17913,98
32765,98
3219,98
8905,98
34351,98
934,98
25606,98
32594,98
4444,98
31537,98
31731,98
7136,98
4022,98
989,98
12437,98
27913,98
23343,98
8303,98
34446,97
21292,97
20866,97
31155,97
21670,97
5075,97
11178,97
24203,97
10791,97
17577,97
7886,97
6427,97
23869,97
18094,97
11602,97
19584,97
6689,97
33989,97
20390,97
3284,97
2038,97
32605,97
10557,97
16786,97
32503,97
2244,97
1570,97
1555,97
6391,96
7786,96
10163,96
6973,96
21183,96
33196,96
30470,96
6222,96
24838,96
669,96
28140,96
15610,96
30997,96
21732,96
22059,96
32851,96
26875,96
6608,96
26195,96
21255,96
12119,96
13341,96
5568,96
15954,96
6583,95
15577,95
8992,95
2386,95
28404,95
31933,95
6053,95
21230,95
33877,95
5352,95
32735,95
30314,95
18904,95
11959,95
1324,95
28056,95
2643,95
23451,95
19019,95
5774,95
33589,95
7207,95
25474,95
13843,95
32596,95
13123,95
28947,95
18780,95
6621,95
18474,95
13093,95
29894,95
7700,95
6967,95
20980,95
26907,95
3022,95
33744,94
20055,94
32984,94
12204,94
4404,94
31920,94
24370,94
34089,94
8832,94
32173,94
8606,94
13949,94
19841,94
43,94
23331,94
2422,94
13407,94
11804,94
29078,94
14124,94
4845,94
26526,93
26723,93
5116,93
3418,93
1975,93
6960,93
26316,93
7124,93
25724,93
19472,93
29844,93
11935,93
17330,93
52,93
12383,93
11716,93
13599,93
10901,93
29479,93
14764,93
25210,93
22858,93
28537,93
8415,93
3175,93
3521,93
28466,93
15104,93
32667,93
18350,93
16101,92
16239,92
786,92
16303,92
33273,92
17474,92
21627,92
8860,92
8983,92
15792,92
10193,92
28889,92
8377,92
24654,92
10794,92
31563,92
17996,92
33529,92
8536,92
30468,92
10410,92
6085,92
3443,92
32188,92
466,92
5270,92
10004,92
22595,92
7179,92
9908,92
25387,92
7005,92
5262,92
6161,91
10527,91
10325,91
5713,91
8422,91
31038,91
3874,91
26666,91
32394,91
24608,91
7447,91
32073,91
18215,91
11256,91
7511,91
9158,91
7709,91
32615,91
28756,91
12163,91
3158,91
4138,91
26949,91
20476,91
31253,91
26438,91
4052,91
19137,91
20355,91
1010,91
26597,91
16550,91
32137,91
27910,90
5538,90
26399,90
14093,90
12741,90
32541,90
28980,90
4838,90
2617,90
29000,90
34299,90
24499,90
30854,90
10079,90
33856,90
8526,90
11880,90
20581,90
11573,90
22478,90
24062,90
19070,90
5208,90
667,90
1891,90
13972,90
18606,89
33109,89
7963,89
16262,89
6313,89
26225,89
5822,89
32202,89
29670,89
25493,89
25426,89
15988,89
23793,89
15500,89
6431,89
5829,89
1287,89
22979,89
27070,89
26618,89
13925,89
25094,89
14200,89
29269,89
8812,89
19701,89
15063,89
32429,89
11652,89
10315,89
8788,89
18493,89
15346,89
22160,89
8764,88
19254,88
27045,88
13679,88
21551,88
33125,88
22771,88
24368,88
3955,88
22775,88
2516,88
29325,88
5129,88
5570,88
19558,88
28415,88
26200,88
7998,88
6530,88
27390,88
18983,88
6715,88
27917,88
24211,88
12658,88
11703,88
16368,88
32260,88
8979,88
18261,87
15579,87
13760,87
9490,87
23959,87
3969,87
26036,87
25068,87
33397,87
6619,87
22125,87
29850,87
4044,87
5582,87
45,87
12603,87
11920,87
10160,87
502,87
33155,87
18016,87
32011,87
22882,87
14740,87
2391,87
23543,87
3144,87
2325,87
29741,87
32279,87
22975,87
12199,87
7979,87
16259,87
31826,87
2789,87
5477,87
26347,87
22344,87
15319,87
25603,87
18726,87
25356,86
25181,86
33465,86
14983,86
10519,86
32238,86
25458,86
30620,86
8800,86
17267,86
9432,86
33137,86
18179,86
5679,86
6052,86
12795,86
31313,86
21043,86
5482,86
12471,86
8724,86
22056,86
11905,86
18214,86
6384,86
9548,86
17318,86
30906,86
4558,86
20386,86
29829,86
7812,86
2420,86
25951,86
12716,85
12522,85
16674,85
11962,85
7518,85
29596,85
9636,85
14871,85
14940,85
16142,85
10435,85
24020,85
20659,85
1930,85
24722,85
24204,85
4522,85
19524,85
9225,85
5371,85
16092,85
5883,85
22827,85
22939,85
23704,85
34171,85
32441,85
29401,85
10189,85
9825,85
26412,85
19798,85
32150,85
30165,85
8888,85
644,85
23050,85
14038,85
30642,85
16620,85
8068,85
31367,85
17560,84
14182,84
7461,84
2597,84
31796,84
14926,84
23880,84
12354,84
24219,84
13683,84
16800,84
34135,84
33734,84
14742,84
6730,84
32937,84
5214,84
11025,84
18424,84
10563,84
14805,84
9886,84
18055,84
16202,84
33074,84
334,84
27083,84
6919,84
2596,84
34090,84
10209,84
20148,84
9455,84
27177,84
4459,84
24528,84
24233,84
18064,83
22560,83
1055,83
16866,83
20773,83
28789,83
4037,83
31306,83
16268,83
17844,83
15056,83
28925,83
24553,83
5633,83
20252,83
12900,83
28920,83
30895,83
12480,83
3673,83
1190,83
5382,83
10397,83
33069,83
24226,83
23139,83
9550,83
7016,83
18443,83
28579,83
8359,83
19233,83
18868,83
3167,83
8926,83
29341,82
29394,82
7261,82
5564,82
14601,82
13227,82
18687,82
29906,82
27954,82
8944,82
30663,82
19313,82
21968,82
12760,82
8313,82
27961,82
18820,82
4176,82
21032,82
20857,82
18104,82
11488,82
17380,82
23967,82
31877,82
19011,82
34519,82
3003,82
14333,82
28347,82
28285,82
3745,82
22911,82
23895,82
25480,82
8433,82
9715,82
2798,81
16974,81
10748,81
10638,81
20501,81
2809,81
14851,81
6078,81
31479,81
27224,81
21530,81
32522,81
10512,81
8265,81
14261,81
28740,81
12819,81
3166,81
15878,81
7488,81
24360,81
26862,81
26015,81
10174,81
19550,81
15070,81
10860,81
13857,81
13827,81
11951,81
12752,81
19047,81
33559,81
12404,81
24902,81
11645,81
32965,81
22426,81
813,81
1790,81
34206,81
9882,81
32164,80
14658,80
22266,80
28250,80
11388,80
24385,80
14087,80
25864,80
8227,80
3032,80
5769,80
11836,80
18743,80
2504,80
7602,80
12608,80
22537,80
4728,80
22441,80
6168,80
17526,80
34411,80
34515,80
28337,80
30216,80
25146,80
20174,80
27654,80
5687,80
34393,80
27113,80
1377,80
1214,80
21726,80
14186,80
33835,80
22456,80
1753,80
16398,80
6945,80
13756,80
22136,80
11626,80
23130,80
12312,80
6634,80
17817,80
27620,80
30623,80
10674,80
12968,80
22730,80
3934,80
5313,80
1339,80
21882,80
9939,80
3555,80
7274,80
29452,79
8734,79
5797,79
29158,79
29621,79
9486,79
29317,79
580,79
13615,79
3435,79
4320,79
13293,79
17754,79
29372,79
10616,79
34548,79
516,79
4385,79
2631,79
7802,79
9422,79
4909,79
8971,79
9427,79
8664,79
14368,79
32844,79
33244,79
5678,79
29520,79
34325,79
21883,79
3359,79
4070,79
17609,79
419,79
24929,79
7652,79
31682,79
34599,79
24882,79
5825,79
22156,79
19826,79
26472,79
20824,78
30426,78
20738,78
28362,78
27561,78
28803,78
31478,78
32930,78
8772,78
4381,78
22387,78
22610,78
16622,78
31006,78
1013,78
7049,78
2554,78
8820,78
2092,78
20396,78
30565,78
20403,78
8794,78
8924,78
27889,78
26676,78
17060,78
3863,78
13539,78
23651,78
33684,78
31871,78
9523,78
17009,78
23185,78
15929,78
7458,78
31335,78
9042,78
12879,78
17279,78
7404,78
28192,78
5056,78
23693,78
18861,78
32583,78
13852,78
9941,78
1652,77
29883,77
30467,77
29574,77
18999,77
33445,77
7723,77
9153,77
28849,77
5219,77
27043,77
25145,77
23802,77
33438,77
24275,77
29042,77
3656,77
33921,77
9018,77
7119,77
7210,77
156,77
10576,77
7418,77
406,77
20090,77
24190,77
16196,77
20731,77
14551,77
19439,77
15631,77
9829,77
16920,77
15171,77
9634,77
20929,77
12126,77
29199,77
33951,77
16404,77
18882,77
8496,77
4409,77
18990,77
17307,77
34583,77
9246,77
15772,77
31073,77
18603,77
3790,77
33306,77
12584,76
7393,76
211,76
5961,76
21596,76
27103,76
2634,76
893,76
22435,76
12401,76
6296,76
20867,76
28617,76
10058,76
20943,76
15851,76
26158,76
6934,76
30221,76
4240,76
32128,76
489,76
5260,76
19294,76
29342,76
27680,76
10714,76
10896,76
6010,76
31662,76
3526,76
16937,76
17029,76
11036,76
11172,76
25865,76
15399,76
18814,76
5121,76
16933,76
18441,76
14877,76
34025,76
31915,76
3658,76
4797,76
31152,76
1550,76
3988,76
14233,76
34472,76
1852,75
27013,75
21588,75
18336,75
24844,75
19396,75
21512,75
563,75
16516,75
8037,75
24122,75
4834,75
2131,75
32439,75
18655,75
7609,75
28471,75
2501,75
6943,75
3590,75
20969,75
16007,75
12123,75
34063,75
5266,75
29692,75
5845,75
34546,75
27633,75
33855,75
28006,74
33752,74
26475,74
30392,74
3820,74
24161,74
33157,74
11662,74
28264,74
30713,74
26120,74
31580,74
28857,74
17044,74
12244,74
21624,74
2728,74
25636,74
24790,74
6749,74
33475,74
5016,74
16713,74
30188,74
2302,74
8507,74
1087,74
28249,74
25096,74
30454,74
17242,74
22601,74
1288,74
21048,74
12208,74
32518,74
27477,74
4438,74
25913,74
10220,74
31364,74
9860,74
23306,74
33747,74
14545,74
12048,74
21905,74
23902,74
6024,74
28773,74
27333,74
34485,74
18939,74
28413,74
26176,74
12435,74
11482,73
29336,73
5799,73
23071,73
25332,73
34023,73
25812,73
31010,73
33925,73
34159,73
8620,73
18645,73
16929,73
32221,73
18492,73
33398,73
11983,73
2355,73
31642,73
6141,73
8661,73
32593,73
14872,73
27820,73
12775,73
27576,73
2364,73
12393,73
18827,73
8761,73
23245,73
20492,73
10073,73
27209,73
15461,73
33776,73
28872,73
20135,73
4660,73
22573,73
6931,73
20491,73
3456,73
5816,73
13067,73
32194,73
23876,73
16548,73
2914,73
23540,73
33202,73
2739,73
16103,73
16823,73
19580,73
4894,73
31681,73
4816,73
208,73
17851,73
9799,73
30739,73
26671,73
2679,73
20005,73
5446,73
20564,72
30399,72
27855,72
15548,72
4900,72
12391,72
3533,72
24099,72
31858,72
779,72
23039,72
31963,72
10243,72
29845,72
33370,72
14905,72
955,72
51,72
8047,72
14151,72
15990,72
9989,72
25701,72
5035,72
6243,72
9011,72
10731,72
21687,72
31798,72
33883,72
20357,72
20280,72
20256,72
20986,72
2890,72
18511,72
34274,72
12305,72
8109,72
28728,72
1734,72
30621,72
11223,72
4600,72
17080,72
22446,72
26364,72
16659,72
29423,72
1948,72
11770,72
14823,72
23779,72
33030,72
10598,72
11037,72
8602,72
21296,72
5627,72
20400,72
13557,72
15985,72
11229,72
15160,72
15673,72
7181,72
22075,72
8893,72
13858,71
9300,71
25213,71
15666,71
20136,71
22337,71
10069,71
29849,71
27225,71
19862,71
13933,71
3221,71
3796,71
30752,71
13912,71
2052,71
24709,71
14791,71
21172,71
18072,71
14252,71
1660,71
23186,71
31007,71
9359,71
27796,71
14687,71
6055,71
4440,71
24975,71
25531,71
15840,71
30405,71
6354,71
4750,71
15201,71
29290,71
29586,71
27441,71
3937,71
6390,71
12049,71
21028,71
4818,71
28769,71
20717,71
6803,71
32796,71
900,71
17162,71
3552,71
23505,71
11004,71
147,71
1607,71
2666,71
21746,71
27753,71
26877,70
1691,70
11222,70
32152,70
29502,70
22233,70
18268,70
244,70
2094,70
9891,70
15360,70
4029,70
8681,70
14300,70
15664,70
25370,70
19839,70
25358,70
15306,70
13765,70
16917,70
6863,70
5307,70
7894,70
6637,70
10500,70
19020,70
15366,70
17716,70
6695,70
9301,70
31500,70
33240,70
10290,70
7478,70
