,sid
33944,136
5682,136
16090,136
25147,136
8847,136
16791,136
32530,136
8250,136
8109,135
24194,135
20964,135
11783,135
25233,135
15440,135
2029,135
19227,135
22764,135
22896,135
6308,135
20909,135
1071,134
7497,134
4213,134
11780,134
24041,134
88,134
7366,134
21108,134
19618,134
32020,134
2612,134
24478,134
27621,134
33238,134
8289,134
3643,133
8745,133
15897,133
11964,133
763,133
27646,133
29477,133
28175,133
2113,133
26454,133
13332,133
20738,133
16354,133
21647,133
9049,132
33708,132
1409,132
32196,132
1515,132
15764,132
34311,132
22750,132
9525,132
24178,132
11223,132
23933,132
26953,131
8261,131
33227,131
19847,131
33853,131
27386,131
12973,131
13319,131
7511,131
8382,131
32686,131
29967,131
12979,131
5378,131
6545,130
11074,130
32317,130
18940,130
7033,130
16586,130
27507,130
11245,130
26617,130
9988,130
18473,130
3750,130
14775,130
25525,130
12664,130
31904,130
25308,130
27741,130
25735,129
23159,129
33122,129
26416,129
11254,129
22166,129
1072,129
22022,129
8488,129
32967,129
15288,129
18641,129
10155,128
25879,128
23104,128
10789,128
3417,128
8102,128
31887,128
15502,128
17272,128
9498,128
13448,128
8829,127
593,127
31757,127
19948,127
25902,127
10138,127
7069,127
21577,127
33220,127
7932,127
6506,127
27935,127
8682,127
28697,127
24894,126
12320,126
16067,126
16868,126
6854,126
23101,126
18312,126
13164,126
27502,126
3672,126
17036,126
29539,126
4697,126
4254,126
10128,126
17694,126
205,126
10752,126
25678,126
33829,126
30878,126
29825,126
1795,125
10343,125
25824,125
18470,125
10168,125
29313,125
27754,125
32385,125
165,125
8126,125
18657,125
20882,125
6639,125
26770,125
1106,125
26771,125
18459,125
6502,125
6020,125
3464,125
21744,125
26968,125
32729,125
18676,125
26137,125
11465,125
23898,124
12796,124
12447,124
16595,124
8806,124
19442,124
13292,124
18275,124
19790,124
6092,124
31151,124
22057,124
29604,124
4246,124
18313,124
15105,123
216,123
6372,123
20184,123
23897,123
18294,123
14320,123
19634,123
8317,123
33655,123
16331,123
10053,123
12134,123
14054,123
17561,123
22327,123
1884,123
2205,123
27794,123
22393,123
19446,123
18672,123
5282,123
32307,123
34223,122
21369,122
34228,122
26269,122
31556,122
26993,122
29812,122
25918,122
13697,122
16652,122
20449,122
25262,122
14659,122
10561,122
26234,122
29170,122
4975,121
11210,121
26399,121
26877,121
32313,121
13923,121
34103,121
8515,121
28586,121
25861,121
20458,121
26031,121
4616,121
25901,121
7124,121
25472,120
34171,120
21047,120
9784,120
32848,120
7425,120
18191,120
14599,120
22504,120
7552,120
12050,120
19210,120
30445,120
28612,120
3538,119
34491,119
2209,119
5906,119
22457,119
20845,119
31244,119
34137,119
11726,119
25395,119
6933,119
22989,119
28456,118
23457,118
34063,118
30565,118
20328,118
3025,118
25153,118
25339,118
24570,118
31301,118
31722,118
24406,118
10751,118
19069,118
19421,118
9577,117
13398,117
33508,117
3492,117
28474,117
29859,117
22666,117
2758,117
31908,117
14120,117
1251,117
28743,117
7974,117
1201,117
30686,117
19782,117
12297,116
1009,116
32781,116
22133,116
17737,116
19298,116
23265,116
2377,116
9039,116
32968,116
3670,116
30356,116
14330,116
32929,116
6719,115
8538,115
6099,115
30311,115
19735,115
8346,115
33914,115
33101,115
20004,115
24210,115
28156,115
2700,115
14250,115
17357,115
3933,115
2064,115
25763,115
8706,115
1290,115
32054,115
33017,115
23659,115
10248,114
22110,114
27981,114
19844,114
7065,114
4540,114
27400,114
18331,114
16611,114
18947,114
11366,114
19974,114
595,114
6269,114
24396,114
31636,114
197,114
32280,114
3496,114
13542,113
22577,113
20760,113
19929,113
16462,113
33751,113
24171,113
26129,113
4953,113
20622,113
18916,113
22181,113
20106,113
23028,113
6146,113
31608,113
24008,113
12471,113
3589,113
8541,113
628,113
6732,113
7214,113
32115,113
30489,113
21358,113
29952,113
320,113
19830,113
6422,112
5173,112
16064,112
4109,112
19409,112
18829,112
15935,112
8068,112
11602,112
3121,112
1352,112
7719,112
23889,112
17655,112
1435,112
10736,112
11394,112
19629,112
6762,112
16255,112
17766,112
23650,111
9171,111
5818,111
12563,111
33622,111
28183,111
26198,111
14499,111
18970,111
12974,111
16360,111
2108,111
15447,111
18000,111
2441,111
19034,111
8996,110
11381,110
19180,110
353,110
17881,110
9458,110
22298,110
4980,110
3867,110
29094,110
9580,110
32350,110
3125,110
23890,110
12792,110
2705,110
24454,109
13383,109
8234,109
6904,109
29883,109
26844,109
5702,109
10496,109
12152,109
31452,109
20604,109
18184,109
10907,109
31426,109
3245,109
26530,109
20875,109
6195,109
13465,109
26599,109
1790,109
10071,109
24775,108
20105,108
6335,108
15168,108
7672,108
8046,108
28362,108
9223,108
27534,108
23608,108
12945,108
5912,108
27780,108
25752,108
31391,108
10235,108
24870,108
10161,108
29456,108
27503,108
20335,108
404,108
13769,108
26096,108
1605,108
12748,108
28297,108
9147,108
17684,108
21702,107
28204,107
31281,107
10755,107
1003,107
26982,107
8826,107
9799,107
22861,107
24043,107
27509,107
17584,107
17042,107
23673,107
20962,107
2834,107
30523,107
5132,106
215,106
4855,106
13247,106
13225,106
28497,106
14717,106
5714,106
4911,106
1033,106
4899,106
1446,106
27023,106
8274,106
9027,106
6563,106
15211,106
11488,106
19266,106
22345,106
24477,106
21050,106
15406,106
31214,106
14443,106
28460,106
13810,106
11028,106
27315,106
28178,106
11279,106
27922,105
25084,105
19764,105
23507,105
23242,105
8813,105
5938,105
18474,105
23156,105
23764,105
23722,105
17618,105
27255,105
19427,105
16754,105
33415,105
26778,105
12093,105
33661,105
19398,105
14989,105
14014,105
6522,105
13248,105
771,105
21132,105
18400,104
29804,104
6629,104
14437,104
10763,104
21547,104
11080,104
418,104
22032,104
9524,104
16780,104
4429,104
22413,104
1710,104
7961,104
4407,104
11847,104
17426,104
11952,104
32074,104
19734,104
8408,104
33794,104
8962,103
29434,103
23591,103
30642,103
15795,103
11778,103
30647,103
28966,103
16877,103
13574,103
20833,103
28388,103
5569,103
23925,103
2697,103
31134,103
6660,103
17816,103
26546,103
26285,103
19225,103
13521,103
2440,103
24376,103
15741,103
18138,103
24014,103
31992,102
23311,102
30500,102
28981,102
21564,102
16769,102
19245,102
34609,102
3573,102
6964,102
10831,102
29211,102
3375,102
3117,102
20590,102
31508,102
26178,102
14648,102
26469,102
27144,102
1953,102
16043,102
17143,102
3648,102
33047,102
3396,101
26804,101
7220,101
812,101
2190,101
19464,101
18104,101
32588,101
30678,101
29220,101
9222,101
3386,101
31543,101
18987,101
30653,101
31,101
33487,101
19853,101
31333,101
32303,101
19140,101
21357,100
24045,100
30687,100
16273,100
14133,100
27821,100
28906,100
1570,100
11011,100
23915,100
12092,100
6646,100
21027,100
6589,100
17771,100
15801,100
29971,100
17444,100
9874,100
22012,100
12094,99
32449,99
32297,99
3099,99
8491,99
24665,99
13366,99
1412,99
26451,99
15222,99
33791,99
3495,99
2083,99
23131,99
21240,99
2315,99
286,99
2359,99
21148,99
5804,99
17422,99
6536,98
29143,98
10557,98
32766,98
5780,98
33775,98
20580,98
2910,98
24557,98
18645,98
33830,98
34036,98
14955,98
18603,98
28099,98
24871,98
23377,98
24035,98
17729,98
14059,98
32114,98
2647,98
24483,98
21349,98
2984,98
10203,98
29775,98
8473,98
5905,98
10927,98
13097,98
6681,98
8502,98
31702,97
33112,97
18577,97
28109,97
12576,97
25776,97
745,97
18781,97
16662,97
14575,97
33440,97
30031,97
23762,97
29856,97
22239,97
719,97
24997,97
21416,97
3441,97
15382,97
3438,97
21361,97
16910,97
19348,97
13158,97
16919,97
19005,97
14203,97
23755,96
33367,96
19376,96
12751,96
9674,96
28931,96
9022,96
26896,96
27773,96
17581,96
23126,96
9845,96
18922,96
7098,96
19681,96
30719,96
22808,96
2701,96
7598,96
1156,96
600,96
21410,96
9108,96
29441,96
25639,95
12493,95
16530,95
22827,95
5836,95
30075,95
31829,95
4508,95
7477,95
24966,95
17872,95
14490,95
6391,95
17252,95
2053,95
34274,95
5161,95
23651,95
25843,95
34522,95
22076,95
16334,95
5198,95
24905,95
27675,95
7547,95
17637,95
18982,95
15749,95
4299,95
18546,95
33935,95
17686,95
32010,95
21871,95
16640,95
10367,95
26020,94
28486,94
11693,94
24836,94
21304,94
27886,94
32704,94
22627,94
6895,94
27327,94
29881,94
33224,94
16649,94
28072,94
18802,94
29928,94
2706,94
253,94
12415,94
27114,94
12203,94
19551,93
10859,93
18517,93
6775,93
7311,93
16930,93
3901,93
19596,93
5512,93
3525,93
3892,93
32875,93
2392,93
17779,93
27352,93
22483,93
4628,93
1293,93
21119,93
7754,93
3162,93
14591,93
32642,93
14877,93
29446,93
34337,93
21440,93
4339,93
2487,93
29516,93
12250,92
1834,92
854,92
31488,92
16424,92
2390,92
25661,92
28729,92
1153,92
30619,92
14901,92
928,92
3313,92
10559,92
20368,92
26541,92
9381,92
27259,92
13915,92
20173,92
23579,92
20409,92
12241,92
15887,92
2750,92
6861,92
20097,92
25110,92
8759,92
5146,92
31217,92
7320,92
18854,92
23119,91
15585,91
12732,91
10092,91
11009,91
23324,91
9469,91
6149,91
6507,91
17942,91
7024,91
33978,91
31884,91
17718,91
4453,91
2305,91
15535,91
527,91
1911,91
10070,91
21184,91
10943,91
19463,91
486,91
16653,91
28646,91
14540,91
13221,91
29753,91
16447,91
34497,91
5857,91
12082,91
5002,90
10282,90
14584,90
27058,90
10133,90
18202,90
10797,90
10091,90
15981,90
25259,90
13802,90
30898,90
3595,90
6068,90
773,90
4481,90
6664,90
1963,90
25877,90
31803,90
21664,90
14965,90
33736,90
21203,90
467,90
11007,90
25174,89
33147,89
28463,89
18060,89
290,89
26243,89
12540,89
7194,89
22676,89
16528,89
1656,89
13830,89
23307,89
2251,89
16513,89
19407,89
3268,89
27107,89
22476,89
22856,89
1336,89
5222,89
16766,89
2309,89
21068,89
30989,89
19328,89
32939,89
7096,89
27871,89
5965,89
17195,89
5078,89
27429,89
19136,88
11846,88
3370,88
11911,88
16394,88
23406,88
27727,88
10060,88
21221,88
9715,88
2277,88
32135,88
4912,88
21894,88
18483,88
34524,88
21671,88
21089,88
3060,88
13043,88
33688,88
26340,88
31696,88
2789,88
33044,88
28859,88
12783,88
14954,88
18298,88
2652,87
17497,87
31289,87
26511,87
4478,87
30938,87
23404,87
9228,87
20924,87
33947,87
30278,87
11800,87
5047,87
20571,87
6523,87
9529,87
33247,87
19879,87
34196,87
3294,87
17003,87
3270,87
22699,87
2303,87
2696,87
17186,87
5851,87
12136,87
6474,87
11461,87
4506,87
22826,87
1952,87
24361,87
4960,87
21371,87
7785,87
6656,87
16879,87
29677,87
33905,87
21838,87
26669,86
13501,86
19801,86
15002,86
11340,86
2916,86
31247,86
16572,86
4544,86
19503,86
27713,86
27361,86
14863,86
17125,86
24306,86
24599,86
30539,86
25256,86
27899,86
1328,86
6581,86
6632,86
1025,86
18262,86
13946,86
8778,86
16785,86
17266,86
23813,86
24138,86
7410,86
225,86
25075,86
25397,86
11542,85
1740,85
18083,85
15962,85
1934,85
30043,85
18518,85
6874,85
12676,85
21314,85
2820,85
1465,85
23681,85
6684,85
21448,85
12877,85
18005,85
2050,85
17859,85
28429,85
64,85
23877,85
4893,85
5802,85
3172,85
28636,85
10650,85
1997,85
28611,85
20107,85
8029,85
29374,85
1464,85
23541,85
19001,85
32291,85
2037,85
1747,85
34449,85
11311,85
1399,85
10116,85
11679,84
18062,84
5793,84
27695,84
8448,84
27314,84
1233,84
19205,84
5882,84
26441,84
1127,84
28374,84
31438,84
11389,84
11782,84
29060,84
6040,84
28030,84
29074,84
28064,84
33457,84
657,84
12341,84
27282,84
31492,84
29925,84
2695,84
31079,84
12928,84
27730,84
14368,84
17695,84
23218,84
25903,84
6499,84
26835,84
29485,84
27278,83
3199,83
22095,83
12774,83
31987,83
20710,83
26146,83
14631,83
7209,83
7782,83
30315,83
34516,83
19437,83
6078,83
18101,83
5093,83
2634,83
24274,83
31834,83
5705,83
27481,83
4623,83
11668,83
20742,83
4045,83
31312,83
15904,83
21957,83
15989,83
9046,83
9631,83
17960,83
22278,83
26517,83
1287,83
16705,82
18315,82
18900,82
26227,82
13,82
23217,82
30576,82
30845,82
11743,82
17224,82
6286,82
767,82
10378,82
26826,82
7927,82
15161,82
34304,82
18693,82
18282,82
16953,82
24117,82
26157,82
4439,82
30248,82
4031,82
11487,82
2615,82
3618,82
3075,82
31460,82
17022,82
28155,82
16470,82
6532,82
865,82
33353,82
1450,82
17607,81
21237,81
18866,81
17180,81
9672,81
3518,81
20963,81
1921,81
24863,81
926,81
32474,81
22775,81
23709,81
19628,81
19664,81
23037,81
3689,81
20221,81
23797,81
16836,81
29468,81
12327,81
26444,81
34141,81
16599,81
2340,81
30956,81
6223,81
9854,81
33706,81
12481,81
6278,81
2317,81
14757,81
34431,81
2961,81
9365,81
20825,81
30208,81
22849,81
23415,81
26188,81
14100,80
7097,80
33290,80
13264,80
27208,80
18379,80
13891,80
14911,80
8762,80
14464,80
26999,80
3754,80
9429,80
6717,80
27304,80
3348,80
25219,80
28825,80
30497,80
10828,80
28488,80
9688,80
20475,80
11544,80
1065,80
15551,80
24182,80
4799,80
2048,80
34212,80
8118,80
12411,80
33891,80
33394,80
10521,80
17163,80
21486,80
18447,80
15859,80
5708,80
31146,80
15140,80
21625,80
22506,80
487,80
1321,80
4004,80
22004,80
12360,80
3702,80
20052,80
2056,80
26873,80
15776,80
12681,80
11105,80
5628,80
13657,80
438,80
30130,79
19394,79
26845,79
5487,79
5464,79
27289,79
19584,79
30425,79
26967,79
3506,79
29637,79
1522,79
4585,79
22987,79
16821,79
14174,79
30015,79
2604,79
14563,79
28736,79
13890,79
15554,79
8275,79
24162,79
18117,79
6543,79
14714,79
29652,79
11886,79
10675,79
27731,79
15424,79
23264,79
23046,79
14535,79
27643,79
2179,79
23268,79
16857,79
16604,79
13520,79
24244,79
19270,79
12195,79
15337,79
8605,78
32662,78
20942,78
16761,78
24025,78
14352,78
29640,78
24760,78
14000,78
27670,78
8391,78
33210,78
28872,78
12909,78
24206,78
13124,78
1985,78
1254,78
27801,78
11809,78
27721,78
28051,78
18305,78
32820,78
6813,78
8475,78
17392,78
21771,78
11289,78
8831,78
17656,78
22864,78
23286,78
31651,78
3747,78
3604,78
3252,78
24694,78
10131,78
3813,78
33376,78
4767,78
24750,78
751,78
16499,78
24575,78
1286,78
32164,78
31733,78
21977,77
30388,77
10928,77
17198,77
7087,77
21465,77
21607,77
32436,77
24475,77
9867,77
10777,77
30058,77
22652,77
19993,77
5717,77
33079,77
12517,77
25306,77
19539,77
21697,77
22047,77
19892,77
9093,77
31800,77
15461,77
12849,77
10029,77
9829,77
27494,77
31570,77
5571,77
31734,77
13083,77
33594,77
6408,77
33064,77
25572,77
8237,77
21479,77
10896,77
32838,77
18648,77
24270,77
27911,77
22172,77
25725,77
27336,77
19648,77
7269,77
16242,77
25073,77
19888,77
1270,77
24108,76
15190,76
1223,76
12267,76
9128,76
22704,76
29776,76
2033,76
33550,76
3422,76
29583,76
23034,76
18677,76
973,76
34482,76
27188,76
25536,76
7226,76
563,76
31572,76
14726,76
12510,76
1725,76
10834,76
13885,76
150,76
23524,76
10902,76
13196,76
29575,76
32712,76
6067,76
32272,76
16196,76
9739,76
26007,76
22852,76
29986,76
10002,76
32912,76
12013,76
16301,76
12940,76
1580,76
2886,76
25249,76
19235,76
132,76
29415,76
28232,76
2060,76
29622,75
31031,75
23399,75
7701,75
31126,75
19583,75
24482,75
30073,75
10788,75
32144,75
13602,75
24643,75
13283,75
6794,75
11492,75
33982,75
963,75
13101,75
19602,75
23961,75
23004,75
26861,75
28759,75
24580,75
1926,75
12762,75
8689,75
6740,75
32643,75
20402,75
19569,74
10134,74
31925,74
22834,74
8618,74
22315,74
30464,74
33429,74
15737,74
13443,74
7303,74
8935,74
3429,74
7218,74
31727,74
14520,74
3596,74
4821,74
30588,74
16261,74
15508,74
7099,74
17998,74
34185,74
7564,74
24600,74
8920,74
2354,74
1074,74
29930,74
10106,74
31340,74
7750,74
15411,74
13478,74
33647,74
10217,74
34513,74
20394,74
9165,74
22148,74
19988,74
12564,74
34001,74
14623,74
20278,74
7133,74
10409,74
16967,74
20302,74
24576,74
4023,74
2089,74
1569,74
5825,74
27026,74
18708,73
17740,73
4290,73
3093,73
19673,73
24536,73
24391,73
30756,73
25507,73
29728,73
28846,73
27678,73
19578,73
6538,73
23806,73
15772,73
13601,73
25691,73
29687,73
8140,73
12368,73
6467,73
2556,73
2429,73
5879,73
19865,73
31386,73
29864,73
1164,73
22863,73
33384,73
30927,73
5180,73
5160,73
19765,73
17957,73
17241,73
26251,73
12742,73
25354,73
17588,73
30264,73
15444,73
5639,73
33865,73
4086,73
28307,73
8106,73
12997,73
9456,73
18343,73
33846,73
29822,73
25522,73
19471,73
32229,73
22128,73
10399,73
29269,73
19385,73
1452,73
23930,73
223,73
29181,73
33106,73
3443,73
27413,72
885,72
32059,72
28473,72
9968,72
26405,72
19130,72
30197,72
6085,72
6887,72
325,72
9441,72
21730,72
20867,72
22781,72
13471,72
8861,72
23629,72
3166,72
20257,72
15907,72
9120,72
25235,72
24418,72
27112,72
9104,72
23827,72
16704,72
21497,72
18292,72
20226,72
28679,72
31501,72
18798,72
26250,72
22000,72
16644,72
25645,72
14792,72
22653,72
10167,72
9296,72
8504,72
29853,72
26321,72
34093,72
25176,72
17896,72
21321,72
4415,72
26450,72
18085,72
1259,72
26365,72
26082,72
14154,72
19036,72
21630,72
25275,72
30960,72
11919,72
16316,72
31085,72
9643,72
25720,72
11191,72
32743,72
9076,72
7826,71
2130,71
32423,71
9058,71
17288,71
2605,71
3759,71
27249,71
11644,71
16040,71
11031,71
28709,71
6716,71
9582,71
27540,71
464,71
23424,71
19622,71
14939,71
17857,71
10743,71
31766,71
12287,71
24303,71
20498,71
230,71
29093,71
6270,71
20002,71
17403,71
32299,71
7608,71
16885,71
12565,71
7230,71
21767,71
10661,71
4247,71
34588,71
12022,71
31028,71
24853,71
14944,71
13114,71
30765,71
34282,71
23192,71
24119,71
9,71
29865,71
30252,71
15817,71
33967,71
19364,71
7924,71
3059,71
4742,71
29890,71
66,70
1258,70
7251,70
16136,70
189,70
9944,70
11451,70
1139,70
30227,70
4105,70
3856,70
26797,70
7403,70
15954,70
24864,70
31744,70
32470,70
11332,70
14588,70
8738,70
29118,70
22338,70
20624,70
23697,70
6314,70
11033,70
23534,70
15694,70
20484,70
8010,70
22375,70
14211,70
31754,70
15684,70
32295,70
33710,70
21229,70
